109,689,351,673,352,694,111,710,
24,642,161,632,163,657,26,668,
350,628,419,628,419,647,350,647,
21,608,34,608,34,627,21,627,
178,596,240,592,241,615,179,618,
355,593,419,593,419,614,355,614,
15,573,260,563,261,587,15,597,
13,544,25,544,25,562,13,562,
339,534,412,537,412,555,338,553,
166,538,236,535,237,554,167,556,
7,509,268,504,268,528,7,534,
3,481,31,481,31,501,3,501,
155,481,226,476,227,497,156,502,
314,477,405,474,405,495,314,497,
269,414,400,410,400,432,270,435,
0,411,103,414,103,435,0,433,
103,381,283,379,283,399,103,401,
86,323,285,321,285,338,86,340,
1,296,385,292,385,313,1,317,
81,270,278,267,278,284,81,287,
