447,803,494,796,498,819,450,820,
228,773,675,710,681,746,233,810,
2,731,245,697,250,735,8,768,
601,656,681,646,685,679,605,689,
4,657,256,625,261,663,8,694,
386,618,450,615,452,653,388,656,
605,606,682,599,685,629,608,635,
5,588,83,588,83,634,5,634,
75,586,173,574,179,617,81,629,
604,557,685,553,687,584,605,588,
5,494,204,498,203,546,4,542,
606,497,685,497,685,526,606,526,
259,453,301,453,301,487,259,487,
84,440,153,437,154,478,86,481,
8,428,109,440,103,489,2,477,
603,397,682,400,681,430,602,427,
482,392,544,392,544,422,482,422,
315,375,375,381,373,409,313,404,
246,377,302,377,302,399,246,399,
210,369,258,369,258,400,210,400,
4,345,167,360,163,398,1,383,
472,340,549,346,547,379,469,372,
9,281,239,309,234,347,5,318,
565,258,672,272,668,301,561,287,
448,238,544,255,538,287,442,270,
19,220,474,292,469,325,13,254,
345,216,409,229,403,262,339,250,
269,200,319,212,312,245,262,233,
37,158,214,190,208,224,31,192,
239,122,594,202,582,253,227,173,
360,33,574,92,566,120,352,61,
471,8,558,36,547,68,460,40,
20,0,73,2,70,24,17,18,
