82,839,482,837,482,862,83,864,
213,812,366,808,367,832,214,836,
31,774,552,768,552,792,31,798,
13,724,258,722,258,747,13,748,
481,719,558,716,559,741,481,744,
13,689,180,687,180,712,13,715,
13,650,179,650,179,677,13,677,
479,647,552,645,553,669,479,672,
15,618,130,618,130,638,15,638,
521,610,553,610,553,634,521,634,
18,582,169,580,169,604,18,606,
17,549,280,545,280,566,17,570,
264,494,313,494,313,516,264,516,
13,493,172,493,172,514,13,514,
457,493,544,488,545,509,458,514,
11,463,120,463,120,487,11,487,
456,460,542,455,543,477,457,482,
13,418,133,423,133,447,12,442,
454,417,540,413,541,434,455,438,
163,393,193,396,191,417,161,414,
12,389,104,393,103,417,11,413,
200,350,242,350,242,369,200,369,
19,349,106,349,106,370,19,370,
129,349,159,349,159,369,129,369,
329,348,387,345,389,368,331,372,
448,342,533,340,534,364,448,366,
18,315,145,318,145,339,18,336,
321,317,389,314,390,336,322,340,
17,283,287,287,287,311,17,307,
214,257,258,257,258,275,214,275,
295,254,379,254,379,278,295,278,
160,256,201,256,201,275,160,275,
27,250,127,255,125,276,25,271,
400,252,515,247,516,268,401,273,
136,208,423,211,423,246,136,243,
15,164,41,164,41,186,15,186,
144,131,406,135,406,162,144,158,
172,94,380,98,379,124,172,119,
