52,675,449,678,449,695,52,692,
105,651,401,654,401,671,104,668,
52,603,458,607,458,629,52,624,
121,580,380,584,380,603,121,599,
131,511,379,514,379,535,131,533,
447,494,460,494,460,511,447,511,
52,485,172,489,171,511,51,506,
400,470,459,470,459,487,400,487,
61,465,142,467,142,485,61,483,
401,447,460,447,460,464,401,464,
53,442,191,442,191,462,53,462,
448,425,460,425,460,441,448,441,
54,420,219,421,219,439,54,438,
400,401,460,399,460,418,400,419,
54,396,256,400,256,417,54,414,
401,354,459,354,459,372,401,372,
341,356,355,356,355,371,341,371,
236,354,295,354,295,372,236,372,
50,351,178,353,178,370,50,368,
286,336,295,336,295,344,286,344,
294,331,382,331,382,348,294,348,
216,331,289,331,289,348,216,348,
52,325,208,328,208,348,51,345,
400,305,461,305,461,326,400,326,
333,307,354,307,354,325,333,325,
225,300,298,303,297,328,224,326,
52,299,132,303,131,325,51,322,
333,259,461,259,461,279,333,279,
53,258,131,258,131,276,53,276,
354,235,461,235,461,255,354,255,
52,233,295,235,295,255,52,253,
179,212,334,213,334,231,179,230,
259,169,378,166,379,188,259,190,
243,140,395,142,395,164,242,161,
55,135,180,135,180,166,55,166,
218,114,420,116,420,137,218,135,
244,85,394,88,394,110,243,107,
