85,366,173,366,174,380,85,378,
360,367,410,365,411,383,361,384,
73,348,143,350,142,363,72,361,
72,330,193,331,193,347,72,346,
355,331,409,331,410,345,356,345,
74,315,169,315,169,329,73,329,
355,312,410,311,410,328,355,328,
76,288,157,288,157,301,75,302,
357,285,410,285,410,299,357,300,
54,262,166,263,167,281,55,280,
256,261,306,260,306,278,257,278,
364,261,412,262,411,277,363,276,
108,237,170,239,170,255,108,253,
260,235,300,234,301,253,261,254,
365,235,412,236,412,254,365,253,
47,208,140,208,140,226,47,226,
46,193,168,189,168,205,47,208,
47,171,410,165,410,184,48,191,
109,123,355,122,355,141,108,143,
92,90,369,89,369,116,92,116,
