29,852,368,856,368,872,29,868,
72,831,328,835,327,852,71,848,
31,790,376,795,375,812,30,807,
90,769,310,773,310,791,90,787,
32,709,142,709,142,726,31,726,
239,712,379,715,378,729,238,726,
35,689,237,688,238,705,35,705,
35,668,175,668,175,685,34,686,
248,671,379,673,378,688,247,686,
101,626,314,629,313,649,100,646,
35,604,138,604,138,625,35,625,
43,587,87,585,89,603,44,605,
337,590,379,591,379,606,337,605,
45,566,111,568,111,582,45,580,
322,569,380,570,380,587,322,586,
39,546,154,545,155,562,40,563,
322,549,381,550,381,567,322,566,
41,525,171,525,172,542,40,542,
314,530,374,531,374,545,314,544,
40,504,210,505,211,522,40,521,
323,508,382,509,382,526,323,525,
324,471,381,472,381,485,324,484,
41,446,149,447,148,464,40,463,
191,448,246,448,246,466,191,466,
330,449,384,450,383,467,329,466,
40,426,206,427,207,444,40,443,
42,405,344,408,343,425,41,422,
43,386,148,389,148,403,43,400,
204,388,246,389,246,404,204,403,
339,389,384,387,385,405,340,407,
43,365,337,368,336,385,42,382,
44,346,149,349,149,363,44,360,
199,349,247,350,247,365,199,364,
333,349,385,348,386,364,333,366,
43,325,175,328,174,342,42,339,
179,327,338,329,337,346,179,344,
45,306,151,309,151,323,45,320,
198,308,248,309,248,324,198,323,
334,308,387,307,388,325,334,326,
173,288,210,289,210,304,173,303,
46,285,170,288,170,302,45,299,
44,261,113,266,113,284,44,279,
190,265,245,266,245,286,190,285,
328,267,382,266,382,284,328,285,
46,223,113,225,113,242,46,240,
282,228,388,228,388,243,282,243,
47,202,252,207,252,224,47,219,
296,207,380,206,381,223,297,224,
154,184,278,187,277,204,154,201,
221,147,322,148,321,164,221,164,
190,125,353,125,353,142,191,142,
53,117,158,120,158,145,53,142,
221,102,329,105,328,122,220,119,
193,80,354,80,354,98,194,98,
