118,965,529,953,530,988,120,1000,
255,932,411,925,413,954,256,960,
68,889,589,874,589,906,69,921,
41,838,205,836,206,863,42,864,
519,826,591,822,592,850,519,853,
44,793,216,789,217,818,45,822,
507,786,590,784,591,810,508,812,
46,754,179,760,177,789,44,784,
506,746,589,746,590,771,506,772,
47,721,144,723,144,753,47,751,
247,674,291,672,292,692,248,693,
370,670,440,671,440,694,370,693,
511,669,579,667,580,690,512,692,
60,640,527,634,527,658,60,665,
249,598,292,599,292,619,249,618,
380,596,437,594,438,618,381,620,
521,596,578,593,579,618,522,621,
64,565,505,563,505,585,63,588,
249,526,292,527,292,547,249,546,
368,524,437,525,437,548,368,547,
508,524,573,525,573,548,508,547,
67,493,465,493,465,516,66,515,
368,455,435,456,435,479,368,478,
250,454,293,455,293,475,250,474,
502,456,570,455,571,477,503,479,
71,421,363,424,364,445,71,443,
367,388,435,389,434,411,366,410,
251,386,295,387,294,407,250,406,
501,388,570,389,569,411,500,410,
74,352,526,357,526,382,74,378,
489,323,564,324,563,343,488,342,
354,321,434,322,433,344,353,343,
251,318,294,319,293,339,250,338,
75,283,401,290,400,314,75,307,
346,255,553,258,552,283,345,280,
81,247,315,253,314,282,80,277,
191,207,468,212,468,244,191,239,
195,119,456,126,455,151,194,145,
221,77,433,85,433,111,220,103,
