136,855,579,830,581,859,138,884,
290,812,459,803,461,832,292,842,
74,778,651,749,653,778,75,807,
43,716,240,705,242,734,44,746,
582,699,659,696,660,724,583,727,
41,673,179,668,180,703,42,708,
581,659,659,657,660,684,582,687,
41,618,193,615,193,648,42,651,
582,608,661,608,661,635,582,635,
40,577,157,577,157,611,40,611,
418,523,496,523,496,549,418,549,
277,523,328,523,328,546,277,546,
580,522,658,522,658,548,580,548,
54,484,650,483,650,509,55,510,
581,440,654,440,654,464,581,464,
431,438,497,438,497,466,431,466,
277,437,328,437,328,461,277,461,
52,436,158,436,158,462,52,462,
431,400,498,400,498,427,431,427,
54,395,208,397,208,423,53,420,
59,358,633,366,632,390,59,383,
387,326,631,332,630,359,386,353,
291,326,345,326,345,346,291,346,
68,317,190,324,189,349,67,343,
206,276,526,286,525,318,204,308,
50,224,96,224,96,247,50,247,
215,198,505,209,504,232,214,221,
248,164,475,176,474,198,247,185,
175,55,249,60,247,88,173,83,
